utterance_id,duration_sec,text,wav_path,block_reason
speech_0024_1778f351cc1f,92.43,"El hijo sabió escucha el consejo de su padre, pero el por long no hace caso las represiones. Del fruto de su boca el hombre comerá lo bueno, pero el alma de los pecadores hallará el mal. El que cuida su boca cuida su vida, pero el que habla demasiado terminará en desgracia. El peresoso desea y no consigue nada, pero el alma de los dirigentes prosperará. El justo aborrece la mentira, pero el malvado se vuelve despreciable y vergonzoso. La justicia cuida al que anda en camino recto, pero la maldad destruirá el decador. Hay quienes hacen rico si no tienen nada, y hay quienes se hacen pobres y tienen muchas riquezas. La protección de la vida del hombre son sus riquezas, pero el pobre no escucha reprensiones. La luz de lo justo brilla con alegría, pero la lámpara de los malvados se apagará. El orgullo provoca con tiendas, pero con los prudentes está la sabiduría. La riquezas obtenidas con vanidad, disminuirán, pero el que junta poco a poco las aumentará. La esperanza que se tarda en cumplirse es tormento para el corazón, pero el deseo cumplido es árbol de la vida.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0024_1778f351cc1f.wav,needs_segmentation
speech_0025_b7cb16176dd6,91.33,"El que desprecia la palabra perecerá por ello, pero el que respeta el mandamiento recibirá recompensa. La enseñanza del sabio es manantial de la vida para apartarse de los lazos de la muerte. El buen entendimiento atrae el favor, pero el camino de los pecadores es duro. Todo hombre prudente actúa con sabiduría, pero el necio muestra su necesidad. El mensajero malo caerá en el mal, pero el mensajero fiel es como medicina, el que despreci el consejo tendrá pobreza y vergüenza, pero el que hace para la corrección será honrado, el deseo cumplido alegra el alma, pero apartarse el mal es algo que los nechos te testan. El que anda con sabios se volverá sabio, pero el que se junta con ellos saldrá perjudicado, mal perseguir a los pecadores, pero a los justos les irá bien. El hombre bueno de gara herencia a los hijos de sus hijos, pero la requeza del pecador estará reservada para el justo. En el campo sin cultivar de los pobres hay mucho pan, pero el se pierde por falta de juicio, el que no corregia a su hijo lo odia, pero el que lo ama correge temprano. El justo come hasta saciarse, pero el vientre de los malvados pasarán de ciudad.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0025_b7cb16176dd6.wav,needs_segmentation
speech_0026_082e801ba327,104.56,"la mujer savia edifica su casa, pero la nesia con sus manos la destruye, el que camina en su rectitud teme a Jehová, pero le perverso en sus caminos lo desprecia. En la boca del nesio está la vara de la soberbia, pero los sabios de los sabios los guardarán, pero los labios de los sabios los guardarán. Sin voy el granero está vacío, pero la fuerza del voy hay abundancia de pan. El testigo verdadero no mentira, pero el testigo falso dirá mentiras, el burlador busca la sabiduría y no le encuentra, pero para el hombre entendido la sabiduría es fácil. Alegate del hombre Nesio, porque él no encontrarás palabras de conocimiento. La sabiduría del prudente es entender su camino, pero la insensatez de los Nesios es engaño. Los Nesios se borlan del pecado, pero entre los rectos hay favor. El corazón conoce la margura de su alma y un extraño no participara de su alegría. La casa de lo malvado será destruida, pero florecerá en la tienda de los rectos. Hay camino que el hombre le parece derecho, pero su fin son caminos de muerte, aún en la risa del corazón puede tener dolor y el final de la alegría es tristeza. El descarneo se saciará de sus propios caminos y el hombre de bien estará contento con el suyo. El ingeno cree que todo lo que oye pero el prudente entiende sus pasos.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0026_082e801ba327.wav,needs_segmentation
speech_0027_4746ccb301b2,80.53,"La respuesta suave quita la ira, pero la palabra dura hace aumentar el enojo. La lengua de los sabios adornará, la sabiduría, pero la boca de los necios hablará sandeses. Los ojos de Jehová están en todo lugar, mirando a los malos y a los buenos. La lengua sana es árbol de vida, pero la perversidad en ella es quiebre del espíritu. El necio desprecia el enojo de su padre, pero el que acepta la corrección llegará a ser prudente. La casa del justo hay gran provisión, pero hay problemas en las ganancias del malvado. Los labios de los sabios es para sin sabiduría, pero no así el corazón de los necios, que El sacrificio de los malvados es abominación a Jehová, pero la oración de los rectos le agrada, la reprensión molesta al que se aleja del camino y el que odia la corrección morirá, el infierno y la perdición están delante de Jehová. Cuanto más corazón de los hombres, el burlador no ama al que lo corrige, ni se cerca, a los avias.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0027_4746ccb301b2.wav,needs_segmentation
speech_0028_f24c96813f8a,86.73,"De los hombres son los planes del corazón, pero de Jehová viene la respuesta de la lengua. Todos los caminos de los hombres son puros en su propia opinión, pero Jehová pesa los espíritus. En convienda, Jehová, tus obras y tus pensamientos serán afirmados. Todas las cosas ha hecho Jehová para sí mismo y aún al malvado para el día del malo. Abominación es jova, abominación es a jova todo altivo de corazón, aunque se junte, mano con mano no quedarán sin castigo, con misericordia y verdad se corriga el pecado y con el temor de jova los hombres se apartarán del mald. Cuando los caminos del hombre agradan a jova, aun en sus enemigos hacen estar en paz con el mejor es, mejor es lo poco con justicia que grandes ganancias sin derecho, el corazón del hombre planea su camino pero Giovanni dirige a sus pasos, a eliminación a los labios del rey en el juicio su boca no falla, peso y al avanzas justas son de Giovanni, obras las uyas son todas las penas, las piezas de la bolsa y esa abominación para dos reis a ser maldad, porque con justicia se afirma el trono.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0028_f24c96813f8a.wav,needs_segmentation
speech_0029_06e003737ae0,132.77,"mejor es un bocado seco y en paz que la casa de playtool llena de provisiones el siervo prudente se enseñará de su hijo que se honra y entre los hermanos repartir a la herencia el crisol para la plata y lorno para el oro pero que va a prueba los corazones el mano está atento al salario malvado y el mentiroso escucha la lengua calumñadora el que se borla del pobre o fende a su accedor y el que se alegra en la calamidad no quedará sin castigo. Corona de los ancianos son los hijos de los hijos y la honra de los hijos sus padres. No conviene al necio el hablar activamente, cuanto menos al príncipe el labio mentiroso. Piera preciosa es el soborno en ojos de sus dueños, a donde quiera que se vuelve de propia prosperidad. El que cubre es la falta busca a mi estat, pero el que repite la palabra aparta al amigo. Aprovecha la reprensión en el entendido, más que cien veces casi gran necio. rebelde no busca sino mal y el mensajero cruel será contra el enviado, mejor es que se encuentre un hombre con una cosa a la cual han robado sus cachorros que con un escio en su necesidad, el que da mal por bien no se apartará el mal de su casa, el que comienza la contienda es como quien suelta las aguas. Deja pues la discusión antes de que se complique, el que justifica el malvado y el que condena al justo, ambos son a homilación a jova. ¿De qué sirve el dinero en la mano del necio para comprar sabiduría no teniendo entendimiento? En todo tiempo ama el amigo y el hermano para la angustia es nacido.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0029_06e003737ae0.wav,needs_segmentation
speech_0030_1aa680eb4d1c,99.47,"Según su propia entojo busca el que se desvia y se entromete en todo asunto. No toma placer el necio en la inteligencia si no hay mostrar lo que hay en su corazón. Cuando viene el malvado viene también el desprecio y con el de sonro la afrenta. Aguas profundas son las palabras de la boca del hombre y arroyo que fluye en la fuente de la sabioría. Tener favoritismo hacia el malvado para hacer caer al justo en su derecho no es bueno. Los Davios del Necio traen pleito y su boca provoca discusiones. La boca del Necio es ruina para sí mismo y su Davios son una trampa para su alma. Las palabras del quimoso parecen suaves y llegan hasta lo más profundo del ser. También el que es negligente en su trabajo es hermano del hombre que destruye. Torreforte es el hombre de Jehová, a él corregra el justo y será levantado, la riqueza del rico con su ciudad fortificada y como un muro alto en su imaginación. Antes del desastre se eleve el corazón del hombre y antes de la honra está la humildad, el que responde antes de escuchar es insensateci vergüenza, el ánimo del hombre soporta su enfermedad, pero ¿quién suportará un ánimo angustiado? El corazón del entendido adquiere sabiduría y el oído de los sabios busca el conocimiento.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0030_1aa680eb4d1c.wav,needs_segmentation
speech_0031_e269df449fea,124.35,"Lago no empieza en la garganta, empieza antes, en la respiración, en la intención y en ese instante en breve, en el que decimos hablar. Esta mañana la ciudad parecía despertar con la entitud de la ventana refleja una luz suave. Los árboles se movían apenas con el viento y a los lejos alguien se arro una puerta, todo tenía un ritmo propio. Camines imprisa, primer escuché mis pasos firmes regulares, tranquilos, después presté atención a mi respiración y en ale profundamente iré a salir el aire sin esfuerzo. Al hablar intenté no impujar las palabras, sino permitir que aparecieron con claridad. Hay frases que necesitan energía. ¿Qué extrahorrinario de descubrir una idea nueva? Otra necesitan calma, no hay ninguna razón para preocuparse, Si algunas piden una pausa, porque el silencio también comunica, miren hacia el horizonte y pensé, ¿cuántas veces hablamos sin escuchar realmente nuestra propia voz? Una buena voz no tiene que ser perfecta, tiene que ser comprensible, flexible y auténtica, pueden subir, bajar, acelerar, detenerse, puede transmitir entusiasmo, autoridad, curiosidad o serenidad, por eso cuando profo. Nunció cada palabra, procuro terminar las consonantes a voyer bien las vocales y mantener un rimo natural, presión, proyección, presencia, tres palabras sencillas pero útiles. Ahora respiro otra vez, mantengo los sonros relajados, mandí volar libre la mirada al frente, y digo con claridad. Mi voz tiene intención, mi voz tiene el ritmo, mi voz puede contar una historia.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0031_e269df449fea.wav,needs_segmentation
speech_0032_6d19ea1a2787,190.24,"Hoy quiero probar amigos de distintas maneras, tranquila, enérgica, cercana, precisa y natural. En piezo de espacio, la tarde cae sobre la ciudad y el ruido de mi no y poco a poco. Una bicicleta cruza la avenida, alguien conversa en una esquina y desde una ventana abierta se escucha música a los lejos. Ahora cambie el ritmo, tengo una idea, tomo una decisión y avance, habló con energía, marco las palabras importantes y mantengo una respiración firme, no necesito correr, necesito comunicar. ¿Se entiende algo lo que digo? ¿Suena claro natural y convincente? ¿Puedo mantener el mismo tono cuando hago una pregunta? Sí, puedo, también puedo hablar con sorpresa. No es poderaba encontrar algo así. Cuentuciando, esto es excelente, vamos a intentarlo una vez más. Con serenidad, todo está bien, podemos resolverlo con calma. Y con determinación, sé lo que quiero decir y voy a expresarlo con claridad. Ahora practicos sonidos diferentes. Piedro prepara, pampa para la primera parada. en la abre, una botella de agua fría, Carlos corre cerca del parque central, Rosa revisa rápidamente cuatro carpetas rojas, Javier viaja jueves y viernes por trabajo, Lucía eligió una pequeña caja azul, 1, 2, 3, 4, 5, 10, 20, 30, 40 y 50, son las 7, 28, son las 7 y 28 de la mañana, la reunión será el martes 14 de octubre a las 9 y media, ahora una frase más larga, aunque el camino parecía sensible al principio, después de varios minutos descubrimos que había muchas opciones posibles, así que decidimos observar con atención, comparar cada alternativa y elegir solamente cuando tuvieramos suficiente información. Pausa, respiro, y continuo una voz más cercana como si estuviera hablando con una sola persona. Me alegra que te es aquí, quiero contarte algo importante, pero no hace falta apresurarnos. Escucha esta frase con atención y fíjate cómo cambia el significado cuando cambia el ritmo, la intención o el volumen. Ahora termino con una lectura firma y natural. Mi voz puede ser suave o intensa, rápido, pausada, seria o expresiva. Pueden narrar, explicar, preguntar, convencer y acompañar, cada frase tiene un ritmo diferente Y cada palabra me permite mostrar una parte distinta de mi manera de hablar.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0032_6d19ea1a2787.wav,needs_segmentation
speech_0033_87b93568f40e,231.24,"a veces una conversación empieza de la forma más sencilla, buenos días, como estas, una especial, dos frases cortas, cotidianas, casi automáticas, pero incluso ahí lo puedes cambiarlo todo, podemos sonar alegres, cansados, sorprendidos, distraídos o realmente interesados, Esta vez quiero hablar con naturalidad, ayer es al día de casa un poco más temprano de lo habitual, el cielo estaba despejado, aunque todavía quedaban algunas muves sobre dos edificios, caminé unas cuadras, compré un café y revicé la hora, era las 8 y 17, entonces recebió un mensaje inesperado, tenemos que cambiar el plan, cambiar el plan ahora, durante unos segundos no supe que responder, después pensé, bueno, veamos que podemos hacer, aquí cambia la intención, no hay problema, podemos reorganizarnos, primero resolvemos lo urgente, después revisamos lo importante y finalmente dejamos preparado lo que sigue, ahora con más energía, perfecto, ya tenemos una dirección, hagamos lo bien hagamos lo rápido y sobre todo hagámoslo con claridad ahora al espacio, hay momentos en los que una voz tranquila transmite más que una voz fuerte, una pavosa breve puede generar atención, una frase sencilla puede sonar segura y segura si se pronuncia sin prisa, por ejemplo, no necesito levantar la voz para hablar con firmeza, también puedo expresar duda, tal vez deberíamos revisar esa decisión una vez más, curiosidad, ¿qué pasaría si probaríamos un alternativa completamente diferente? sorpresa, vaya, eso así que no me lo esperaba, alegría, ¿qué buena noticia me encanta escuchar eso? seriedad, necesitamos hablar de este tema con atención, ahora practicó las palabras con unidos variados, ferrocarril, carretera, fotografía, refrigerador, extraordinario responsabilidad, brisa, abrazo, blanco, problema, público, próximo, chocolate, lluvia, llave, jardín, naranja y tarra. 33 personas llegaron temprano pero solamente 27 encontraron haciendo, la presentación comenzó a las 9 y 45 y terminó aproximadamente una hora después y ahora una frase larga sin perder claridad. Cuando hablamos durante varios minutos es importante mantener una respiración cómoda, parar la entonación y permitir que algunas palabras tengan una fuerza más que otras, porque una voz completamente uniforme puede hacer que incluso una buena historia fierta parte de su efecto. cambio, imagina que estás contando algo que realmente te importa, hay ideas que queremos explicar, hay historia que queremos compartir, hay preguntas que todavía no sabemos responder, y en cada una de ellas aparece nuestra voz, no exactamente a igual que cada vez, a veces rápida, a veces lenta, a veces ligera, a es profunda, pero siempre reconocible, porque una voz no es solamente un sonido, también ritmo, intención, personalidad y presencia.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0033_87b93568f40e.wav,needs_segmentation
speech_0001_e8e584084dd6,11.401,Frases emocionales,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0001_e8e584084dd6.wav,generic_metadata
speech_0012_da1f1bf6f1f9,9.83,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0012_da1f1bf6f1f9.wav,duplicate_over_limit
speech_0023_fcefc8faaf26,88.59,"El que habla verdad declara justicia, pero el testigo mentiroso habla en gaño. Hay quienes hablan como dando golpes de espada, pero la lengua de los sabios es medicina. Los labios verdaderos permanecen para siempre, pero la lengua mentirosa solo por un momento. Hay engaño en el corazón de los que planean el mal, pero alegría en los que piensan bien. Ninguna desgracia le ocurrirá al justo, pero los malvados estarán llenos de mal. Los sabios mentirosos son abominación al Señor, pero los que actuan con verdad le agradan. El hombre prudente guarda el conocimiento, pero el corazón de los necios proclama la necesidad. La mano de los gentiles gobernará, pero la pereza terminará en servidumbre, la preocupación en el corazón del hombre lo deprime, pero la buena palabra lo alegra. El justo beneficia es prójimo, pero el camino de los malvados lo hace extraviar. El perezozo no hace lo que casa, pero la riqueza del hombre es licencia. el camino de la justicia está la vida, y por su senda no hay muerte.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0023_fcefc8faaf26.wav,needs_segmentation
